color,name,japanese,english
0x0048ba,Absolute Zero,,absolute zero
0xb0bf1a,Acid green,,acid green
0x7cb9e8,Aero,,aero
0xc0e8d5,Aero blue,,aero blue
0xb284be,African violet,,african violet
0x72a0c1,Air superiority blue,,air superiority blue
0xedeae0,Alabaster,,alabaster
0xdb2d43,Alizarin,,alizarin
0xf0f8ff,Alice blue,,alice blue
0xc46210,Alloy orange,,alloy orange
0xefdecd,Almond,,almond
0xe52b50,Amaranth,,amaranth
0x9f2b68,Amaranth (M&P),,amaranth (m&p)
0xf19cbb,Amaranth pink,,amaranth pink
0xab274f,Amaranth purple,,amaranth purple
0xd3212d,Amaranth red,,amaranth red
0x3b7a57,Amazon,,amazon
0xffbf00,Amber,,amber
0xff7e00,Amber (SAE/ECE),,amber (sae/ece)
0x9966cc,Amethyst,,amethyst
0x3ddc84,Android green,,android green
0xcd9575,Antique brass,,antique brass
0x665d1e,Antique bronze,,antique bronze
0x915c83,Antique fuchsia,,antique fuchsia
0x841b2d,Antique ruby,,antique ruby
0xfaebd7,Antique white,,antique white
0x008000,Ao (English),,ao (english)
0x8db600,Apple green,,apple green
0xfbceb1,Apricot,,apricot
0x00ffff,Aqua,,aqua
0x7fffd4,Aquamarine,,aquamarine
0xd0ff14,Arctic lime,,arctic lime
0x4b5320,Army green,,army green
0x8f9779,Artichoke,,artichoke
0xe9d66b,Arylide yellow,,arylide yellow
0xb2beb5,Ash gray,,ash gray
0x87a96b,Asparagus,,asparagus
0x27346f,Astronaut,,astronaut
0xff9966,Atomic tangerine,,atomic tangerine
0xa52a2a,Auburn,,auburn
0xfdee00,Aureolin,,aureolin
0x568203,Avocado,,avocado
0x007fff,Azure,,azure
0xf0ffff,Azure (X11/web color),,azure (x11/web color)
0x89cff0,Baby blue,,baby blue
0xa1caf1,Baby blue eyes,,baby blue eyes
0xf4c2c2,Baby pink,,baby pink
0xfefefa,Baby powder,,baby powder
0xff91af,Baker-Miller pink,,baker-miller pink
0xfae7b5,Banana Mania,,banana mania
0xda1884,Barbie Pink,,barbie pink
0x7c0a02,Barn red,,barn red
0x848482,Battleship grey,,battleship grey
0xbcd4e6,Beau blue,,beau blue
0x9f8170,Beaver,,beaver
0xf5f5dc,Beige,,beige
0x2e5894,B'dazzled blue,,b'dazzled blue
0x9c2542,Big dip oÅfruby,,big dip oÅfruby
0xffe4c4,Bisque,,bisque
0x3d2b1f,Bistre,,bistre
0x967117,Bistre brown,,bistre brown
0xcae00d,Bitter lemon,,bitter lemon
0xbfff00,Bitter lime,,bitter lime
0xfe6f5e,Bittersweet,,bittersweet
0xbf4f51,Bittersweet shimmer,,bittersweet shimmer
0x000000,Black,,black
0x3d0c02,Black bean,,black bean
0x1b1811,Black chocolate,,black chocolate
0x3b2f2f,Black coffee,,black coffee
0x54626f,Black coral,,black coral
0x3b3c36,Black olive,,black olive
0xbfafb2,Black Shadows,,black shadows
0xffebcd,Blanched almond,,blanched almond
0xa57164,Blast-off bronze,,blast-off bronze
0x318ce7,Bleu de France,,bleu de france
0xace5ee,Blizzard blue,,blizzard blue
0xfaf0be,Blond,,blond
0x660000,Blood red,,blood red
0x0000ff,Blue,,blue
0x1f75fe,Blue (Crayola),,blue (crayola)
0x0093af,Blue (Munsell),,blue (munsell)
0x0087bd,Blue (NCS),,blue (ncs)
0x0018a8,Blue (Pantone),,blue (pantone)
0x333399,Blue (pigment),,blue (pigment)
0x0247fe,Blue (RYB),,blue (ryb)
0xa2a2d0,Blue bell,,blue bell
0x6699cc,Blue-gray,,blue-gray
0x0d98ba,Blue-green,,blue-green
0x064e40,Blue-green (color wheel),,blue-green (color wheel)
0x5dadec,Blue jeans,,blue jeans
0x126180,Blue sapphire,,blue sapphire
0x8a2be2,Blue-violet,,blue-violet
0x7366bd,Blue-violet (Crayola),,blue-violet (crayola)
0x4d1a7f,Blue-violet (color wheel),,blue-violet (color wheel)
0x5072a7,Blue yonder,,blue yonder
0x3c69e7,Bluetiful,,bluetiful
0xde5d83,Blush,,blush
0x79443b,Bole,,bole
0xe3dac9,Bone,,bone
0x006a4e,Bottle green,,bottle green
0x87413f,Brandy,,brandy
0xcb4154,Brick red,,brick red
0x66ff00,Bright green,,bright green
0xd891ef,Bright lilac,,bright lilac
0xc32148,Bright maroon,,bright maroon
0x1974d2,Bright navy blue,,bright navy blue
0xffaa1d,Bright yellow (Crayola),,bright yellow (crayola)
0xff55a3,Brilliant rose,,brilliant rose
0xfb607f,Brink pink,,brink pink
0x004225,British racing green,,british racing green
0xcd7f32,Bronze,,bronze
0x88540b,Brown,,brown
0xaf6e4d,Brown sugar,,brown sugar
0x1b4d3e,Brunswick green,,brunswick green
0x7bb661,Bud green,,bud green
0xffc680,Buff,,buff
0x800020,Burgundy,,burgundy
0xdeb887,Burlywood,,burlywood
0xa17a74,Burnished brown,,burnished brown
0xcc5500,Burnt orange,,burnt orange
0xe97451,Burnt sienna,,burnt sienna
0x8a3324,Burnt umber,,burnt umber
0xbd33a4,Byzantine,,byzantine
0x702963,Byzantium,,byzantium
0x536872,Cadet,,cadet
0x5f9ea0,Cadet blue,,cadet blue
0xa9b2c3,Cadet blue (Crayola),,cadet blue (crayola)
0x91a3b0,Cadet grey,,cadet grey
0x006b3c,Cadmium green,,cadmium green
0xed872d,Cadmium orange,,cadmium orange
0xe30022,Cadmium red,,cadmium red
0xfff600,Cadmium yellow,,cadmium yellow
0xa67b5b,Caf? au lait,,caf? au lait
0x4b3621,Caf? noir,,caf? noir
0xa3c1ad,Cambridge blue,,cambridge blue
0xc19a6b,Camel,,camel
0xefbbcc,Cameo pink,,cameo pink
0xffff99,Canary,,canary
0xffef00,Canary yellow,,canary yellow
0xff0800,Candy apple red,,candy apple red
0xe4717a,Candy pink,,candy pink
0x00bfff,Capri,,capri
0x592720,Caput mortuum,,caput mortuum
0xc41e3a,Cardinal,,cardinal
0x00cc99,Caribbean green,,caribbean green
0x960018,Carmine,,carmine
0xd70040,Carmine (M&P),,carmine (m&p)
0xffa6c9,Carnation pink,,carnation pink
0xb31b1b,Carnelian,,carnelian
0x56a0d3,Carolina blue,,carolina blue
0xed9121,Carrot orange,,carrot orange
0x00563f,Castleton green,,castleton green
0x703642,Catawba,,catawba
0xc95a49,Cedar Chest,,cedar chest
0xace1af,Celadon,,celadon
0x007ba7,Celadon blue,,celadon blue
0x2f847c,Celadon green,,celadon green
0xb2ffff,Celeste,,celeste
0x246bce,Celtic blue,,celtic blue
0xde3163,Cerise,,cerise
0x007ba7,Cerulean,,cerulean
0x2a52be,Cerulean blue,,cerulean blue
0x6d9bc3,Cerulean frost,,cerulean frost
0x1dacd6,Cerulean (Crayola),,cerulean (crayola)
0x007aa5,CG blue,,cg blue
0xe03c31,CG red,,cg red
0xf7e7ce,Champagne,,champagne
0xf1ddcf,Champagne pink,,champagne pink
0x36454f,Charcoal,,charcoal
0x232b2b,Charleston green,,charleston green
0xe68fac,Charm pink,,charm pink
0xdfff00,Chartreuse (traditional),,chartreuse (traditional)
0x7fff00,Chartreuse (web),,chartreuse (web)
0xffb7c5,Cherry blossom pink,,cherry blossom pink
0x954535,Chestnut,,chestnut
0xe23d28,Chili red,,chili red
0xde6fa1,China pink,,china pink
0xa8516e,China rose,,china rose
0xaa381e,Chinese red,,chinese red
0x856088,Chinese violet,,chinese violet
0xffb200,Chinese yellow,,chinese yellow
0x7b3f00,Chocolate (traditional),,chocolate (traditional)
0xd2691e,Chocolate (web),,chocolate (web)
0x58111a,Chocolate Cosmos,,chocolate cosmos
0xffa700,Chrome yellow,,chrome yellow
0x98817b,Cinereous,,cinereous
0xe34234,Cinnabar,,cinnabar
